2022-05-19 10:05:303 INFO  HomePage :42 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //input[@id='login-button']]
2022-05-19 10:05:481 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 10:05:560 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 10:05:610 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 10:05:668 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 10:05:730 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //button[@id='checkout']]
2022-05-19 10:05:817 INFO  CheckOutPage :48 - Sending first name : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //input[@id='first-name']]
2022-05-19 10:05:880 INFO  CheckOutPage :53 - Sending Last name : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //input[@id='last-name']]
2022-05-19 10:05:941 INFO  CheckOutPage :58 - Sending Postcode : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //input[@id='postal-code']]
2022-05-19 10:05:998 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //input[@id='continue']]
2022-05-19 10:05:48 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //button[@id='finish']]
2022-05-19 10:05:68 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (6ff51c0ee859e38a0354a8506632760d)] -> xpath: //h2[@class='complete-header']]
